X,Y,Z
7000.0,0.0,0.0
6985.9067353031905,443.96743759595154,0.0
6943.683689815566,886.1471750162449,0.0
6873.5008808389475,1324.7587105228718,0.0
6775.640909774495,1758.0359102675545,0.0
6650.497824186618,2184.23411988941,0.0
6498.575531112508,2601.637189622293,0.0
6320.485768006347,3008.5643846242015,0.0
6116.945639488494,3403.3771527032804,0.0
5888.7747298182685,3784.485722189182,0.0
5636.891802717411,4150.355503382483,0.0
5362.311101832847,4499.513267805774,0.0
5066.138266735491,4830.553080374784,0.0
4749.565880899925,5142.141960602734,0.0
4413.868669591657,5433.0252500422985,0.0
4060.3983669983872,5702.031664352351,0.0
3690.5782732735165,5948.078009646601,0.0
3305.897523408779,6170.173544133073,0.0
2907.905091013205,6367.423967481627,0.0
2498.203551143103,6539.035021855747,0.0
2078.442627297925,6684.315690108518,0.0
1650.3125485659912,6802.680978264792,0.0
1215.5372436685132,6893.6542710854565,0.0
775.8673993070777,6956.869251228778,0.0
333.07341076619525,6992.071374281058,0.0
-111.0617468436562,6999.118893717126,0.0
-554.7496979975199,6977.983431663596,0.0
-996.2038679129965,6928.750093166528,0.0
-1433.6466764563354,6851.617123503452,0.0
-1865.3166958302456,6746.895109919596,0.0
-2289.475743221952,6615.00573100268,0.0
-2704.4158798519006,6456.48005873207,0.0
-3108.466288240419,6271.956420039351,0.0
-3500.000000000001,6062.177826491069,0.0
-3877.440447062771,5827.988982443399,0.0
-4239.267809963667,5570.332883715825,0.0
-4584.025137616995,5290.247020479808,0.0
-4910.32421394425,4988.85919965204,0.0
-5216.851147730283,4667.383003614042,0.0
-5502.371663199513,4327.112903544235,0.0
-5765.736070008828,3969.419047039395,0.0
-6005.88389264484,3595.7417410138432,0.0
-6221.848140584463,3207.5856520918733,0.0
-6412.7592020244865,2806.5137478462952,0.0
-6577.848345501358,2394.1410032796825,0.0
-6716.450815301483,1972.1278978900077,0.0
-6828.0085081978505,1542.1737295057858,0.0
-6912.07222073476,1106.0097718134493,0.0
-6968.303458011591,665.392303129277,0.0
-6996.475796682297,222.09553448647358,0.0
-6996.475796682297,-222.09553448647495,0.0
-6968.303458011591,-665.3923031292784,0.0
-6912.072220734759,-1106.0097718134507,0.0
-6828.0085081978505,-1542.1737295057842,0.0
-6716.450815301482,-1972.1278978900093,0.0
-6577.848345501359,-2394.141003279681,0.0
-6412.7592020244865,-2806.5137478462966,0.0
-6221.848140584463,-3207.585652091872,0.0
-6005.883892644839,-3595.741741013845,0.0
-5765.73607000883,-3969.4190470393937,0.0
-5502.371663199513,-4327.112903544236,0.0
-5216.8511477302845,-4667.383003614041,0.0
-4910.324213944249,-4988.859199652041,0.0
-4584.025137616996,-5290.247020479808,0.0
-4239.267809963666,-5570.332883715825,0.0
-3877.4404470627724,-5827.988982443399,0.0
-3499.9999999999973,-6062.177826491071,0.0
-3108.4662882404173,-6271.956420039351,0.0
-2704.4158798519006,-6456.480058732069,0.0
-2289.4757432219535,-6615.00573100268,0.0
-1865.3166958302425,-6746.895109919596,0.0
-1433.646676456334,-6851.617123503452,0.0
-996.2038679129968,-6928.750093166528,0.0
-554.7496979975215,-6977.983431663596,0.0
-111.06174684365327,-6999.1188937171255,0.0
333.0734107661967,-6992.071374281058,0.0
775.8673993070761,-6956.869251228778,0.0
1215.5372436685097,-6893.654271085457,0.0
1650.3125485659925,-6802.680978264792,0.0
2078.442627297925,-6684.315690108518,0.0
2498.2035511431022,-6539.035021855748,0.0
2907.905091013208,-6367.423967481626,0.0
3305.89752340878,-6170.173544133073,0.0
3690.578273273516,-5948.078009646601,0.0
4060.3983669983845,-5702.031664352352,0.0
4413.868669591659,-5433.025250042297,0.0
4749.565880899926,-5142.141960602732,0.0
5066.138266735491,-4830.553080374784,0.0
5362.311101832845,-4499.513267805776,0.0
5636.891802717412,-4150.3555033824805,0.0
5888.7747298182685,-3784.485722189182,0.0
6116.945639488493,-3403.3771527032814,0.0
6320.485768006347,-3008.5643846242033,0.0
6498.5755311125085,-2601.637189622291,0.0
6650.497824186618,-2184.2341198894096,0.0
6775.640909774495,-1758.0359102675557,0.0
6873.5008808389475,-1324.7587105228683,0.0
6943.683689815567,-886.1471750162435,0.0
6985.9067353031905,-443.96743759595165,0.0
7000.0,-1.7145055188062945e-12,0.0